verbo,kanji,lectura
encontrarse,会う,あう
jugar,遊ぶ,あそぶ
lavar,洗う,あらう
hay,有る,ある
caminar,歩く,あるく
decir,言う,いう
ir,行く,いく
apresurar,急ぐ,いそぐ
necesitar,要り,いり
mover,動く,うごく
cantar,歌う,うたう
vender,売る,うる
poner,置く,おく
enviar,送る,おくる
presionar,押す,おす
pensar,思う,おもう
recordar,思い出す,おもいだす
nadar,泳ぐ,およぐ
terminar,終わる,おわる
comprar,買う,かう
devolver,返す,かえす
volver,帰る,かえる
tardar,かかる,かかる
escribir,書く,かく
prestar,貸す,かす
ganar,勝つ,かつ
ponerse sombrero,かぶる,かぶる
oir,聞く,きく
cortar,切る,きる
apagar,消す,けす
tocar,触ると,さわる
enterarse,知る,しる
fumar,吸う,すう
vivir,住む,すむ
sentarse,座る,すわる
pararse,立つ,たつ
enviar,出す,だす
usar,使う,つかう
llegar,着く,つく
producir,作る,つくる
llevar,連れて行く,つれていく
ayudar,手伝う,てつだう
alojarse,泊まる,とまる
tomar,取る,とる
reparar,直す,なおす
perder,負ける,まける
aprender,習う,ならう
hacerse,なる,なる
quitarse,脱ぐ,ぬぐ
subir,登る,のぼる
beber,飲む,のむ
ascender,乗る,のる
entrar,入る,はいる
ponerse pantalones,はく,はく
trabajar,働く,はたらく
tocar instrumento,弾く,ひく
jalar,引く,ひく
llover,降る,ふる
pagar,払う,はらう
hablar,話す,はなす
doblar,曲がる,まがる
esperar,待つ,まつ
girar,回す,まわす
teener algo en la mano,持つ,もつ
llevar algo,持って行く,もっていく
recibir,もらう,もらう
ser util,役に立つ,やくにたつ
descansar,休む,やすむ
llamar,呼ぶ,よぶ
leer,読む,よむ
entender,分かる,わかる
cruzar,渡る,わたる
buscar,捜す,さがす
localizar,探す,さがす
llegar tiempo,間に合う,まにあう
hacer,やる,やる
inscribirse,申し込む,もうしこむ
criar,飼う,かう
correr,走る,はしる
organizar,開く,ひらく
bailar,踊る,おどる
morder,かむ,かむ
elegir,選ぶ,えらぶ
ser diferente,違う,ちがう
ir y venir,通う,かよう
abrirse,開く,あく
cerrarse,閉まる,しまる
encenderse,つく,つく
llenarse,込む,こむ
vaciarse,すく,すく
ser puesto bolsillo,付く,つく
detenerse,止まる,とまる
hacer caer,落とす,おとす
cerrarse llave,掛かる,かかる
pegar,はる,はる
adornar,飾る,かざる
reponer,戻す,もどす
guardar,しまう,しまう
empezar,始まる,はじまる
cesar,やむ,やむ
nublarse,曇る,くもる
soplar,吹く,ふく
recuperarse,治る,なおる
continuar,続く,つづく
coger refriado,ひく,ひく
enfriar,冷やす,ひやす
hacer ruido,騒ぐ,さわぐ
proteger,守る,まもる
dejar asiento,外す,はずす
lavarse dientes,磨く,みがく
romper,折る,おる
notar,気がつく,きがつく
ser encontrado,見つかる,みつかる
florecer,咲,さく
cambiar,変わる,かわる
tener problemas,困る,こまる
recoger,拾う,ひろう
llegar paquete,届く,とどく
escribir procesador,打つ,うつ
engordar,太る,ふとる
regañar,しかる,しかる
invitar,誘う,さそう
levantar,起こす,おこす
solicitar,頼む,たのむ
robar,とる,とる
pisar,踏む,ふむ
destruir,壊す,こわす
ensuciar,汚す,よごす
llevar acabo,行う,おこなう
transportar,運ぶ,はこぶ
fallecer,亡くなる,なくなる
pasar,通る,とおる
morirse,死ぬ,しぬ
medir,測る,はかる
quedar bien,合う,あう
emborracharse,酔う,よう
recibir humilde,いただく,いただく
dar respetuoso,くださう,くださう
dar subordinados,やる,やる
envolver,包む,つつむ
hervir,沸かす,わかす
disminuir,減る,へる
subir precio,上がる,あがる
bajar precio,下がる,さがる
gastarse,なくなる,なくなる
llorar,泣く,なく
reirse,笑う,わらう
secarse,乾く,かわく
deslizarse,滑る,すべる
disculparse,謝る,あやまる
ir bien,うまく行く,うまくいく
asar,焼く,やく
entregar,渡す,わたす
reunirse,集まる,あつまる
abrir paraguas,さす,さす
bajar,降ろす,おろす
descargar,下ろす,おろす
pasar tiempo,過ごす,すごす
pasar banco,寄る,よる
estar respetuosa,いらっしゃう,いらっしゃう
comer beber respetuosa,召し上がる,めしあがる
decir respetuosa,おっしゃう,おっしゃう
hacer respetuosa,なさう,なさう
ver respetuosa,ご覧いなる,ごらんになる
ir humilde,参る,まいる
estar humilde,おる,おる
comer beber humilde,いただく,いただく
decir humilde,申す,もうす
hacer humilde,いただす,いただす
oir humilde,伺う,うかがう
encontrarse humilde,お目にかかる,おめにかかる
ser cortes,ごさう,ごさう
